"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1,BT2","Li-ion Cell","Samsung INR18650-30Q, 3000mAh, 4.2V, 2.5V Cut-off","","2",""
"C1,C2,C3,C4,C6,C7,C8,C9","100n","~","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","8",""
"C5","22u","~","Capacitor_THT:C_Radial_D10.0mm_H16.0mm_P5.00mm","1",""
"D1,D2,D3","SA5.0A","https://www.vishay.com/docs/88301/15ke.pdf","Diode_THT:D_DO-201AD_P12.70mm_Horizontal","3",""
"D4","Red1","10mm","","1",""
"D5","Red2","10mm","","1",""
"D6","Red3","10mm","","1",""
"D7","Green1","10mm","","1",""
"J1","PICAXE_CON039","https://www.cuidevices.com/product/resource/sj1-352xn.pdf","Connector_Audio:Jack_3.5mm_CUI_SJ1-3525N_Horizontal","1",""
"JF1,JF2,JF3,JF4","JST Connector","2.54mm pin spacing","","4",""
"JM1,JM2,JM3,JM4","JST Header","2.54mm pin spacing","-- mixed values --","4",""
"LS1","Speaker","Eagle B185, 3W 4ohm Weatherproof","","1",""
"Q1,Q2","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","2",""
"R1,R2,R3,R4,R8,R17","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R5,R6,R7,R10,R11,R16","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6",""
"R9","22k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R12,R13,R14","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3",""
"R15","330","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R18","560","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"RN1","8 * 10k","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP9","1",""
"RV1,RV2","10k Log","Bourns 53CAD-E16-D15L 0.25W IP65","","2",""
"SW1","Clear Leaderboard","Normally Open, Momentary Close","Maker:PCB_Switch_Push_Button","1",""
"SW2","Help","Normally Open, Momentary Close","","1",""
"SW3","Leaderboard","Normally Open, Momentary Close","","1",""
"SW4","Race","Normally Open, Momentary Close","","1",""
"SW5","Power","Dual Pole","","1",""
"U1","PICAXE_20X2","https://ww1.microchip.com/downloads/en/devicedoc/41365d.pdf","Package_DIP:DIP-20_W7.62mm","1",""
"U3","L4940V5","https://www.st.com/resource/en/datasheet/l4940.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U4","PAM8302","https://github.com/adafruit/Adafruit-PAM8302-Mono-Amplifier-PCB","Maker:PAM8302_Amplifier","1",""
"U5","DF_Player_Mini","https://www.flyrontech.com/en/download/m16p.html","Maker:DF_Player_Mini","1",""
